"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","63,753.0","63,280.0","64,480.0","62,987.0","0.57K","0.75%"
"05/06/2024","63,280.0","64,173.0","65,625.0","62,812.0","0.86K","-1.39%"
"05/05/2024","64,173.0","63,983.0","64,769.0","63,034.0","0.71K","0.30%"
"05/04/2024","63,983.0","62,978.0","64,644.0","62,690.0","0.46K","1.60%"
"05/03/2024","62,978.0","59,247.0","63,429.0","58,914.0","2.89K","6.30%"
"05/02/2024","59,247.0","58,457.0","59,732.0","57,082.0","2.23K","1.35%"
"05/01/2024","58,457.0","60,836.0","60,991.0","56,756.0","3.90K","-3.91%"
"04/30/2024","60,836.0","63,960.0","64,800.0","59,372.0","1.96K","-4.88%"
"04/29/2024","63,960.0","63,226.0","64,304.0","61,949.0","1.01K","1.16%"
"04/28/2024","63,226.0","63,574.0","64,470.0","62,924.0","0.37K","-0.55%"
"04/27/2024","63,574.0","63,874.0","64,028.0","62,498.0","1.13K","-0.47%"
"04/26/2024","63,874.0","64,555.0","64,838.0","63,376.0","0.72K","-1.05%"
"04/25/2024","64,555.0","64,345.0","65,348.0","62,846.0","0.93K","0.33%"
"04/24/2024","64,345.0","66,458.0","67,153.0","63,667.0","0.91K","-3.18%"
"04/23/2024","66,458.0","66,894.0","67,234.0","65,904.0","0.51K","-0.65%"
"04/22/2024","66,894.0","64,992.0","67,282.0","64,581.0","1.08K","2.93%"
"04/21/2024","64,992.0","65,045.0","65,744.0","64,310.0","0.49K","-0.08%"
"04/20/2024","65,045.0","63,867.0","65,465.0","63,174.0","0.83K","1.84%"
"04/19/2024","63,867.0","63,529.0","65,487.0","59,698.0","2.28K","0.53%"
"04/18/2024","63,529.0","61,375.0","64,159.0","60,932.0","1.66K","3.51%"
"04/17/2024","61,375.0","63,874.0","64,534.0","59,840.0","2.28K","-3.91%"
"04/16/2024","63,874.0","63,488.0","64,415.0","61,765.0","1.80K","0.61%"
"04/15/2024","63,488.0","65,793.0","66,888.0","62,386.0","2.49K","-3.50%"
"04/14/2024","65,793.0","64,039.0","65,909.0","62,190.0","2.53K","2.74%"
"04/13/2024","64,039.0","67,061.0","67,878.0","61,604.0","4.32K","-4.51%"
"04/12/2024","67,061.0","70,104.0","71,291.0","65,625.0","2.75K","-4.34%"
"04/11/2024","70,104.0","70,688.0","71,352.0","69,650.0","1.41K","-0.83%"
"04/10/2024","70,688.0","69,165.0","71,241.0","67,606.0","2.39K","2.20%"
"04/09/2024","69,164.0","71,675.0","71,751.0","68,253.0","2.83K","-3.50%"
"04/08/2024","71,675.0","69,343.0","72,761.0","69,040.0","3.09K","3.36%"
"04/07/2024","69,343.0","68,880.0","70,222.0","68,821.0","0.55K","0.67%"
"04/06/2024","68,880.0","67,819.0","69,673.0","67,491.0","0.52K","1.56%"
"04/05/2024","67,819.0","68,518.0","68,718.0","65,993.0","1.68K","-1.02%"
"04/04/2024","68,518.0","65,967.0","69,320.0","65,074.0","2.23K","3.87%"
"04/03/2024","65,967.0","65,495.0","66,931.0","64,603.0","1.43K","0.72%"
"04/02/2024","65,495.0","69,691.0","69,691.0","64,667.0","3.47K","-6.02%"
"04/01/2024","69,691.0","71,402.0","71,402.0","68,198.0","2.56K","-2.40%"
"03/31/2024","71,402.0","69,683.0","71,444.0","69,652.0","1.21K","2.47%"
"03/30/2024","69,683.0","69,862.0","70,301.0","69,632.0","0.31K","-0.26%"
"03/29/2024","69,862.0","70,776.0","70,892.0","69,015.0","1.47K","-1.29%"
"03/28/2024","70,776.0","69,467.0","71,557.0","68,932.0","1.57K","1.88%"
"03/27/2024","69,467.0","70,011.0","71,610.0","68,452.0","4.20K","-0.78%"
"03/26/2024","70,011.0","69,824.0","71,402.0","69,347.0","1.87K","0.27%"
"03/25/2024","69,824.0","67,283.0","70,983.0","66,397.0","4.66K","3.78%"
"03/24/2024","67,283.0","64,034.0","67,655.0","63,827.0","2.02K","5.02%"
"03/23/2024","64,069.0","63,828.0","65,969.0","63,059.0","1.31K","0.38%"
"03/22/2024","63,828.0","65,577.0","66,712.0","62,336.0","3.15K","-2.67%"
"03/21/2024","65,577.0","67,912.0","68,229.0","64,639.0","3.36K","-3.44%"
"03/20/2024","67,912.0","62,072.0","68,155.0","60,900.0","4.53K","9.41%"
"03/19/2024","62,072.0","67,606.0","68,136.0","61,689.0","6.98K","-8.19%"
"03/18/2024","67,606.0","68,456.0","68,940.0","66,648.0","2.32K","-1.24%"
"03/17/2024","68,456.0","65,304.0","68,922.0","64,593.0","3.70K","4.83%"
"03/16/2024","65,304.0","69,514.0","70,070.0","65,000.0","3.39K","-5.98%"
"03/15/2024","69,457.0","71,364.0","72,413.0","65,705.0","5.08K","-2.67%"
"03/14/2024","71,364.0","72,985.0","73,666.0","68,602.0","3.48K","-2.21%"
"03/13/2024","72,974.0","71,237.0","73,588.0","71,172.0","3.07K","2.44%"
"03/12/2024","71,237.0","71,937.0","72,760.0","68,429.0","6.89K","-0.97%"
"03/11/2024","71,937.0","68,948.0","72,606.0","67,096.0","7.12K","4.34%"
"03/10/2024","68,948.0","68,205.0","69,850.0","68,048.0","2.93K","1.09%"
"03/09/2024","68,205.0","68,010.0","68,458.0","67,724.0","1.83K","0.27%"
"03/08/2024","68,018.0","66,744.0","69,838.0","66,100.0","4.67K","1.91%"
"03/07/2024","66,744.0","66,073.0","67,953.0","65,641.0","2.19K","1.02%"
"03/06/2024","66,073.0","63,818.0","67,658.0","62,805.0","4.51K","3.53%"
"03/05/2024","63,818.0","68,110.0","68,874.0","59,858.0","9.33K","-6.30%"
"03/04/2024","68,110.0","63,121.0","68,161.0","62,489.0","5.45K","7.90%"
"03/03/2024","63,121.0","61,962.0","63,229.0","61,402.0","1.72K","1.87%"
"03/02/2024","61,962.0","62,346.0","62,406.0","61,584.0","1.37K","-0.62%"
"03/01/2024","62,346.0","61,148.0","63,000.0","60,783.0","2.51K","1.96%"
"02/29/2024","61,148.0","62,380.0","63,566.0","60,385.0","4.10K","-1.97%"
"02/28/2024","62,380.0","56,998.0","63,780.0","56,668.0","6.63K","9.44%"
"02/27/2024","56,998.0","54,417.0","57,487.0","54,388.0","4.50K","4.74%"
"02/26/2024","54,417.0","51,716.0","54,720.0","50,903.0","4.39K","5.22%"
"02/25/2024","51,716.0","51,630.0","51,956.0","51,307.0","1.28K","0.17%"
"02/24/2024","51,630.0","50,734.0","51,724.0","50,590.0","0.98K","1.77%"
"02/23/2024","50,734.0","51,287.0","51,537.0","50,527.0","1.05K","-1.08%"
"02/22/2024","51,287.0","51,856.0","52,042.0","50,903.0","1.87K","-1.10%"
"02/21/2024","51,856.0","52,168.0","52,279.0","50,600.0","2.23K","-0.60%"
"02/20/2024","52,168.0","51,732.0","52,872.0","50,714.0","2.60K","0.84%"
"02/19/2024","51,732.0","52,061.0","52,466.0","51,650.0","1.19K","-0.63%"
"02/18/2024","52,061.0","51,631.0","52,449.0","51,165.0","0.91K","0.83%"
"02/17/2024","51,631.0","52,130.0","52,153.0","50,611.0","1.39K","-0.96%"
"02/16/2024","52,130.0","51,893.0","52,579.0","51,580.0","1.27K","0.46%"
"02/15/2024","51,893.0","51,778.0","52,700.0","51,280.0","2.44K","0.22%"
"02/14/2024","51,778.0","49,777.0","52,005.0","49,319.0","3.07K","4.02%"
"02/13/2024","49,777.0","49,947.0","50,349.0","48,388.0","2.43K","-0.34%"
"02/12/2024","49,947.0","48,321.0","50,283.0","47,699.0","4.36K","3.36%"
"02/11/2024","48,321.0","47,800.0","48,500.0","47,613.0","1.31K","1.09%"
"02/10/2024","47,800.0","47,150.0","48,185.0","46,900.0","0.73K","1.38%"
"02/09/2024","47,150.0","45,279.0","48,182.0","45,247.0","2.80K","4.13%"
"02/08/2024","45,279.0","44,328.0","45,541.0","44,328.0","1.67K","2.15%"
"02/07/2024","44,328.0","43,101.0","44,351.0","42,788.0","1.74K","2.85%"
"02/06/2024","43,101.0","42,707.0","43,375.0","42,574.0","0.71K","0.92%"
"02/05/2024","42,707.0","42,583.0","43,540.0","42,247.0","1.04K","0.29%"
"02/04/2024","42,583.0","43,004.0","43,109.0","42,332.0","0.63K","-0.98%"
"02/03/2024","43,004.0","43,201.0","43,366.0","42,892.0","0.29K","-0.46%"
"02/02/2024","43,201.0","43,088.0","43,477.0","42,560.0","0.78K","0.26%"
"02/01/2024","43,088.0","42,594.0","43,272.0","41,880.0","0.94K","1.16%"
"01/31/2024","42,594.0","42,956.0","43,722.0","42,304.0","1.29K","-0.84%"
"01/30/2024","42,956.0","43,309.0","43,840.0","42,700.0","1.11K","-0.80%"
"01/29/2024","43,301.0","42,047.0","43,301.0","41,833.0","1.16K","2.98%"
"01/28/2024","42,047.0","42,125.0","42,808.0","41,637.0","0.94K","-0.19%"
"01/27/2024","42,125.0","41,821.0","42,204.0","41,405.0","0.47K","0.73%"
"01/26/2024","41,821.0","40,001.0","42,192.0","39,877.0","2.73K","4.55%"
