"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","38,908.4","38,847.9","38,945.4","38,838.5","","0.16%"
"05/06/2024","38,847.9","38,722.5","38,880.0","38,689.3","","0.30%"
"05/05/2024","38,730.2","38,757.5","38,765.0","38,717.5","","0.06%"
"05/03/2024","38,706.4","38,457.4","38,804.0","38,423.1","","0.65%"
"05/02/2024","38,457.9","38,026.5","38,531.7","37,879.2","","1.17%"
"05/01/2024","38,014.2","37,804.7","38,346.2","37,696.9","","0.57%"
"04/30/2024","37,799.9","38,357.3","38,390.2","37,755.5","","-1.45%"
"04/29/2024","38,356.8","38,339.5","38,405.9","38,209.2","","0.05%"
"04/28/2024","38,337.0","38,297.5","38,337.5","38,290.5","","0.20%"
"04/26/2024","38,261.5","38,119.0","38,338.2","38,058.0","","0.37%"
"04/25/2024","38,121.0","38,386.5","38,436.0","37,752.0","","-0.69%"
"04/24/2024","38,385.0","38,505.1","38,576.1","38,308.2","","-0.32%"
"04/23/2024","38,507.1","38,256.6","38,560.8","38,217.0","","0.67%"
"04/22/2024","38,252.1","38,098.0","38,452.8","37,987.7","","0.40%"
"04/21/2024","38,099.5","38,040.0","38,102.0","38,023.0","","0.33%"
"04/19/2024","37,973.0","37,715.5","38,108.6","37,241.1","","0.68%"
"04/18/2024","37,716.0","37,772.8","38,083.5","37,680.7","","-0.14%"
"04/17/2024","37,769.8","37,907.4","38,012.9","37,610.6","","-0.37%"
"04/16/2024","37,908.9","37,740.6","38,033.0","37,594.0","","0.45%"
"04/15/2024","37,739.1","38,075.0","38,376.5","37,659.7","","-0.87%"
"04/14/2024","38,070.0","37,974.5","38,101.0","37,971.5","","0.27%"
"04/12/2024","37,969.0","38,496.2","38,570.0","37,878.1","","-1.37%"
"04/11/2024","38,496.2","38,391.7","38,601.2","38,197.2","","0.27%"
"04/10/2024","38,391.2","38,906.5","39,025.6","38,302.2","","-1.32%"
"04/09/2024","38,906.5","38,908.4","38,992.0","38,568.2","","0.00%"
"04/08/2024","38,906.9","38,964.0","39,014.5","38,802.5","","-0.14%"
"04/07/2024","38,963.0","38,966.0","39,014.0","38,952.5","","0.10%"
"04/05/2024","38,926.0","38,611.3","39,052.8","38,553.2","","0.81%"
"04/04/2024","38,611.8","39,187.9","39,425.5","38,560.5","","-1.47%"
"04/03/2024","39,189.4","39,150.9","39,308.9","39,017.4","","0.09%"
"04/02/2024","39,152.9","39,431.9","39,474.2","39,050.5","","-0.70%"
"04/01/2024","39,429.9","39,975.2","39,976.7","39,373.2","","-1.37%"
"03/31/2024","39,975.7","39,822.2","39,988.2","39,822.2","","0.53%"
"03/28/2024","39,766.2","39,726.3","39,866.7","39,713.0","","0.10%"
"03/27/2024","39,725.8","39,400.2","39,797.8","39,395.6","","0.82%"
"03/26/2024","39,401.7","39,334.1","39,440.3","39,279.3","","0.17%"
"03/25/2024","39,334.5","39,444.5","39,460.5","39,296.3","","-0.28%"
"03/24/2024","39,444.0","39,446.0","39,447.5","39,411.0","","0.04%"
"03/22/2024","39,428.5","39,823.9","39,850.5","39,425.5","","-0.99%"
"03/21/2024","39,823.4","39,588.4","39,893.2","39,576.9","","0.58%"
"03/20/2024","39,592.4","39,103.4","39,600.9","39,002.8","","1.25%"
"03/19/2024","39,102.9","38,792.7","39,121.3","38,686.6","","0.80%"
"03/18/2024","38,792.2","38,689.5","38,900.8","38,658.0","","0.26%"
"03/17/2024","38,690.0","38,698.0","38,723.0","38,677.5","","-0.04%"
"03/15/2024","38,704.5","38,878.8","38,991.3","38,619.5","","-0.45%"
"03/14/2024","38,879.7","39,084.4","39,229.9","38,703.9","","-0.53%"
"03/13/2024","39,085.4","39,002.0","39,203.8","38,937.5","","0.21%"
"03/12/2024","39,002.4","38,805.3","39,073.5","38,650.5","","0.51%"
"03/11/2024","38,806.3","38,733.0","38,822.6","38,480.5","","0.19%"
"03/10/2024","38,734.5","38,760.0","38,762.5","38,679.5","","-0.03%"
"03/08/2024","38,748.0","38,769.0","38,969.3","38,601.4","","-0.05%"
"03/07/2024","38,765.5","38,651.5","38,913.2","38,522.5","","0.30%"
"03/06/2024","38,651.0","38,578.9","38,860.5","38,546.5","","0.19%"
"03/05/2024","38,579.4","38,933.4","38,963.5","38,457.4","","-0.91%"
"03/04/2024","38,933.4","39,052.2","39,088.8","38,862.5","","-0.30%"
"03/03/2024","39,052.2","39,062.8","39,073.2","39,045.2","","0.05%"
"03/01/2024","39,032.2","38,955.7","39,122.4","38,848.6","","0.20%"
"02/29/2024","38,955.2","38,856.5","39,077.0","38,791.5","","0.26%"
"02/28/2024","38,856.0","38,917.4","38,952.2","38,740.2","","-0.16%"
"02/27/2024","38,917.9","39,060.6","39,114.0","38,881.7","","-0.37%"
"02/26/2024","39,060.6","39,128.5","39,244.0","39,029.3","","-0.18%"
"02/25/2024","39,129.5","39,138.2","39,143.8","39,109.3","","0.07%"
"02/23/2024","39,100.8","39,074.1","39,285.9","39,028.0","","0.07%"
"02/22/2024","39,074.6","38,624.6","39,152.7","38,621.1","","1.17%"
"02/21/2024","38,623.1","38,562.3","38,667.9","38,339.2","","0.16%"
"02/20/2024","38,561.3","38,563.0","38,660.9","38,450.5","","-0.01%"
"02/19/2024","38,563.5","38,634.5","38,667.5","38,552.5","","-0.19%"
"02/18/2024","38,635.0","38,624.5","38,641.0","38,616.0","","0.14%"
"02/16/2024","38,580.0","38,746.1","38,825.6","38,574.5","","-0.43%"
"02/15/2024","38,746.1","38,412.0","38,783.8","38,373.0","","0.87%"
"02/14/2024","38,412.5","38,256.8","38,460.8","38,195.1","","0.40%"
"02/13/2024","38,259.3","38,774.2","38,819.8","38,038.8","","-1.33%"
"02/12/2024","38,773.2","38,665.5","38,930.1","38,599.5","","0.28%"
"02/11/2024","38,666.0","38,632.0","38,671.0","38,627.5","","0.09%"
"02/09/2024","38,633.0","38,708.0","38,889.7","38,565.2","","-0.19%"
"02/08/2024","38,706.5","38,687.0","38,748.0","38,543.3","","0.05%"
"02/07/2024","38,688.0","38,504.9","38,748.2","38,457.3","","0.48%"
"02/06/2024","38,504.4","38,322.8","38,544.3","38,277.6","","0.47%"
"02/05/2024","38,324.2","38,654.8","38,693.0","38,214.5","","-0.86%"
"02/04/2024","38,655.2","38,634.2","38,666.2","38,603.2","","0.06%"
"02/02/2024","38,630.2","38,522.3","38,782.2","38,326.2","","0.27%"
"02/01/2024","38,524.8","38,188.8","38,549.6","38,104.7","","0.88%"
"01/31/2024","38,189.3","38,457.9","38,580.0","38,123.4","","-0.70%"
"01/30/2024","38,457.9","38,290.7","38,514.2","38,239.0","","0.44%"
"01/29/2024","38,289.2","38,020.5","38,347.9","38,013.0","","0.71%"
"01/28/2024","38,020.5","38,068.5","38,068.5","38,006.0","","-0.19%"
"01/26/2024","38,091.5","37,976.4","38,218.4","37,899.0","","0.31%"
"01/25/2024","37,973.9","37,859.5","38,058.0","37,755.0","","0.30%"
"01/24/2024","37,860.0","37,932.7","38,079.5","37,777.9","","-0.19%"
"01/23/2024","37,933.7","37,987.3","38,020.9","37,799.8","","-0.15%"
"01/22/2024","37,988.8","37,893.5","38,109.0","37,871.5","","0.25%"
"01/21/2024","37,894.0","37,884.5","37,926.0","37,883.0","","0.09%"
"01/19/2024","37,859.0","37,470.9","37,945.5","37,404.9","","1.03%"
"01/18/2024","37,472.9","37,265.0","37,522.6","37,126.0","","0.56%"
"01/17/2024","37,266.0","37,356.1","37,372.6","37,135.0","","-0.25%"
"01/16/2024","37,358.0","37,534.5","37,544.5","37,201.3","","-0.47%"
"01/15/2024","37,533.5","37,563.5","37,626.5","37,492.5","","-0.08%"
"01/14/2024","37,563.0","37,539.0","37,569.0","37,519.0","","0.05%"
"01/12/2024","37,544.0","37,704.2","37,818.4","37,448.9","","-0.43%"
"01/11/2024","37,706.6","37,708.3","37,812.3","37,425.1","","-0.01%"
"01/10/2024","37,708.8","37,502.2","37,742.0","37,458.5","","0.55%"
"01/09/2024","37,501.7","37,643.0","37,648.5","37,363.0","","-0.38%"
"01/08/2024","37,644.5","37,411.5","37,693.3","37,215.5","","0.62%"
"01/07/2024","37,413.0","37,418.0","37,450.0","37,396.0","","-0.10%"
"01/05/2024","37,451.0","37,495.8","37,624.6","37,254.4","","-0.12%"
"01/04/2024","37,497.3","37,448.3","37,721.2","37,430.6","","0.12%"
"01/03/2024","37,450.8","37,730.2","37,731.2","37,399.3","","-0.74%"
"01/02/2024","37,729.2","37,718.5","37,814.0","37,463.0","","0.03%"
"01/01/2024","37,719.5","37,676.5","37,738.5","37,676.5","","0.17%"
"12/29/2023","37,655.0","37,737.4","37,788.0","37,540.1","","-0.22%"
"12/28/2023","37,736.5","37,652.3","37,778.6","37,605.5","","0.22%"
"12/27/2023","37,652.3","37,555.5","37,682.0","37,484.7","","0.26%"
"12/26/2023","37,556.0","37,451.0","37,618.0","37,369.5","","0.27%"
"12/25/2023","37,455.0","37,361.5","37,455.5","37,361.5","","0.24%"
"12/22/2023","37,366.5","37,318.1","37,536.7","37,252.2","","0.13%"
"12/21/2023","37,319.1","37,164.8","37,419.2","37,126.3","","0.42%"
"12/20/2023","37,164.3","37,529.6","37,642.2","37,023.5","","-0.97%"
"12/19/2023","37,529.2","37,282.1","37,565.2","37,269.2","","0.66%"
"12/18/2023","37,283.0","37,312.0","37,394.0","37,269.1","","-0.08%"
"12/17/2023","37,312.5","37,284.5","37,313.0","37,278.0","","0.09%"
"12/15/2023","37,280.5","37,246.5","37,403.5","37,143.2","","0.09%"
"12/14/2023","37,247.0","37,139.8","37,312.5","37,047.5","","0.28%"
"12/13/2023","37,141.8","36,619.1","37,144.7","36,529.8","","1.42%"
"12/12/2023","36,620.6","36,415.0","36,621.1","36,366.0","","0.56%"
