"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2024","1.0699","1.0717","1.0728","1.0674","","-0.09%"
"05/01/2024","1.0709","1.0664","1.0733","1.0649","","0.41%"
"04/30/2024","1.0665","1.0724","1.0736","1.0664","","-0.50%"
"04/29/2024","1.0719","1.0695","1.0734","1.0690","","0.25%"
"04/26/2024","1.0692","1.0732","1.0754","1.0674","","-0.34%"
"04/25/2024","1.0729","1.0699","1.0740","1.0678","","0.30%"
"04/24/2024","1.0697","1.0703","1.0715","1.0677","","-0.02%"
"04/23/2024","1.0699","1.0655","1.0712","1.0638","","0.42%"
"04/22/2024","1.0654","1.0656","1.0671","1.0623","","0.00%"
"04/19/2024","1.0654","1.0645","1.0678","1.0610","","0.10%"
"04/18/2024","1.0643","1.0672","1.0690","1.0641","","-0.26%"
"04/17/2024","1.0671","1.0619","1.0680","1.0605","","0.51%"
"04/16/2024","1.0617","1.0624","1.0654","1.0601","","-0.05%"
"04/15/2024","1.0622","1.0637","1.0666","1.0619","","-0.19%"
"04/12/2024","1.0642","1.0726","1.0731","1.0622","","-0.76%"
"04/11/2024","1.0724","1.0743","1.0757","1.0698","","-0.17%"
"04/10/2024","1.0742","1.0857","1.0868","1.0728","","-1.04%"
"04/09/2024","1.0855","1.0859","1.0886","1.0847","","-0.03%"
"04/08/2024","1.0858","1.0843","1.0863","1.0820","","0.21%"
"04/05/2024","1.0835","1.0836","1.0848","1.0791","","0.00%"
"04/04/2024","1.0835","1.0833","1.0877","1.0832","","0.00%"
"04/03/2024","1.0835","1.0772","1.0838","1.0763","","0.62%"
"04/02/2024","1.0768","1.0743","1.0780","1.0724","","0.23%"
"04/01/2024","1.0743","1.0788","1.0799","1.0731","","-0.46%"
"03/29/2024","1.0793","1.0790","1.0806","1.0767","","0.06%"
"03/28/2024","1.0787","1.0827","1.0828","1.0774","","-0.36%"
"03/27/2024","1.0826","1.0832","1.0840","1.0810","","-0.04%"
"03/26/2024","1.0830","1.0838","1.0865","1.0824","","-0.06%"
"03/25/2024","1.0836","1.0808","1.0843","1.0802","","0.29%"
"03/22/2024","1.0805","1.0860","1.0869","1.0802","","-0.51%"
"03/21/2024","1.0860","1.0921","1.0943","1.0855","","-0.53%"
"03/20/2024","1.0918","1.0864","1.0924","1.0836","","0.49%"
"03/19/2024","1.0865","1.0873","1.0877","1.0834","","-0.06%"
"03/18/2024","1.0871","1.0893","1.0906","1.0865","","-0.15%"
"03/15/2024","1.0887","1.0883","1.0900","1.0872","","0.06%"
"03/14/2024","1.0881","1.0950","1.0955","1.0880","","-0.59%"
"03/13/2024","1.0946","1.0926","1.0964","1.0920","","0.20%"
"03/12/2024","1.0924","1.0925","1.0946","1.0899","","-0.02%"
"03/11/2024","1.0926","1.0944","1.0948","1.0914","","-0.10%"
"03/08/2024","1.0937","1.0948","1.0982","1.0919","","-0.08%"
"03/07/2024","1.0946","1.0897","1.0950","1.0868","","0.45%"
"03/06/2024","1.0897","1.0859","1.0916","1.0841","","0.39%"
"03/05/2024","1.0855","1.0855","1.0877","1.0840","","0.01%"
"03/04/2024","1.0854","1.0842","1.0868","1.0838","","0.16%"
"03/01/2024","1.0837","1.0804","1.0844","1.0797","","0.31%"
"02/29/2024","1.0803","1.0836","1.0857","1.0795","","-0.30%"
"02/28/2024","1.0836","1.0844","1.0848","1.0796","","-0.07%"
"02/27/2024","1.0844","1.0850","1.0867","1.0832","","-0.03%"
"02/26/2024","1.0847","1.0826","1.0861","1.0812","","0.27%"
"02/23/2024","1.0818","1.0824","1.0841","1.0812","","-0.05%"
"02/22/2024","1.0823","1.0816","1.0889","1.0802","","0.06%"
"02/21/2024","1.0817","1.0807","1.0825","1.0790","","0.13%"
"02/20/2024","1.0803","1.0779","1.0840","1.0761","","0.24%"
"02/19/2024","1.0777","1.0776","1.0790","1.0761","","0.03%"
"02/16/2024","1.0774","1.0770","1.0788","1.0732","","0.03%"
"02/15/2024","1.0771","1.0727","1.0785","1.0725","","0.43%"
"02/14/2024","1.0725","1.0710","1.0735","1.0695","","0.15%"
"02/13/2024","1.0709","1.0772","1.0796","1.0700","","-0.58%"
"02/12/2024","1.0771","1.0781","1.0806","1.0755","","-0.10%"
"02/09/2024","1.0782","1.0779","1.0796","1.0761","","0.06%"
"02/08/2024","1.0776","1.0772","1.0790","1.0741","","0.05%"
"02/07/2024","1.0771","1.0755","1.0784","1.0753","","0.16%"
"02/06/2024","1.0754","1.0743","1.0763","1.0723","","0.12%"
"02/05/2024","1.0741","1.0784","1.0787","1.0723","","-0.40%"
"02/02/2024","1.0784","1.0873","1.0898","1.0780","","-0.81%"
"02/01/2024","1.0872","1.0814","1.0876","1.0779","","0.52%"
"01/31/2024","1.0816","1.0844","1.0889","1.0795","","-0.22%"
"01/30/2024","1.0840","1.0833","1.0857","1.0811","","0.06%"
"01/29/2024","1.0833","1.0849","1.0850","1.0796","","-0.18%"
"01/26/2024","1.0852","1.0843","1.0885","1.0812","","0.06%"
"01/25/2024","1.0846","1.0885","1.0903","1.0821","","-0.34%"
"01/24/2024","1.0883","1.0854","1.0933","1.0845","","0.29%"
"01/23/2024","1.0851","1.0883","1.0917","1.0821","","-0.28%"
"01/22/2024","1.0881","1.0891","1.0911","1.0879","","-0.15%"
"01/19/2024","1.0897","1.0876","1.0898","1.0865","","0.21%"
"01/18/2024","1.0874","1.0882","1.0907","1.0846","","-0.06%"
"01/17/2024","1.0881","1.0874","1.0885","1.0844","","0.06%"
"01/16/2024","1.0874","1.0950","1.0952","1.0862","","-0.68%"
"01/15/2024","1.0948","1.0955","1.0969","1.0933","","-0.01%"
"01/12/2024","1.0949","1.0974","1.0987","1.0935","","-0.19%"
"01/11/2024","1.0970","1.0973","1.0991","1.0929","","-0.01%"
"01/10/2024","1.0971","1.0931","1.0974","1.0922","","0.37%"
"01/09/2024","1.0931","1.0952","1.0967","1.0910","","-0.16%"
"01/08/2024","1.0949","1.0946","1.0979","1.0922","","0.07%"
"01/05/2024","1.0941","1.0947","1.0999","1.0876","","-0.02%"
