Date,Close/Last,Volume,Open,High,Low
08/17/2023,1915.20,146770,1922.40,1933.50,1914.20
08/16/2023,1928.30,124766,1933.10,1938.20,1922.00
08/15/2023,1935.20,161512,1939.40,1944.30,1927.50
08/14/2023,1944.00,117514,1945.60,1948.20,1934.20
08/11/2023,1946.60,119090,1944.90,1953.60,1942.70
08/10/2023,1948.90,163805,1947.70,1963.50,1944.40
08/09/2023,1950.60,130739,1959.30,1966.10,1947.20
08/08/2023,1959.90,138581,1971.50,1972.80,1956.50
08/07/2023,1970.00,101170,1977.60,1981.70,1966.10
08/04/2023,1939.60,290,1934.90,1945.00,1920.00
08/03/2023,1932.00,773,1934.20,1936.50,1928.00
08/02/2023,1937.40,652,1948.40,1953.60,1933.20
08/01/2023,1940.70,688,1964.90,1965.40,1940.80
07/31/2023,1970.50,1025,1959.20,1971.60,1950.00
07/28/2023,1960.40,22705,1945.50,1962.20,1944.20
07/27/2023,1945.70,192370,1973.30,1982.60,1941.70
07/26/2023,1970.10,204484,1966.30,1979.90,1963.20
07/25/2023,1963.70,182563,1957.00,1967.10,1951.60
07/24/2023,1962.20,193572,1963.60,1969.80,1955.30
07/21/2023,1966.60,152540,1972.10,1975.90,1958.80
07/20/2023,1970.90,186560,1980.00,1989.80,1967.70
07/19/2023,1980.40,155975,1982.50,1984.60,1973.30
07/18/2023,1980.80,256970,1958.30,1988.30,1958.10
07/17/2023,1956.40,161963,1958.60,1963.60,1949.00
07/14/2023,1964.40,191150,1965.20,1967.80,1954.70
07/13/2023,1963.80,219133,1962.70,1968.50,1956.60
07/12/2023,1961.70,250982,1938.00,1965.10,1937.50
07/11/2023,1937.10,174842,1930.80,1944.50,1929.80
07/10/2023,1931.00,195109,1930.70,1933.70,1918.00
07/07/2023,1932.50,208113,1916.60,1941.10,1915.40
07/06/2023,1915.40,226527,1922.40,1934.00,1908.50
07/05/2023,1927.10,242943,1929.10,1942.90,1922.10
07/03/2023,1929.50,150176,1927.80,1939.90,1917.70
06/30/2023,1929.40,174877,1916.40,1930.80,1908.10
06/29/2023,1917.90,200268,1916.50,1921.30,1900.60
06/28/2023,1922.20,155119,1923.10,1926.10,1911.40
06/27/2023,1923.80,177006,1932.70,1940.30,1919.80
06/26/2023,1933.80,145419,1936.30,1943.40,1931.10
06/23/2023,1929.60,181273,1923.50,1949.00,1919.50
06/22/2023,1923.70,165183,1943.30,1945.10,1922.00
06/21/2023,1944.90,176555,1948.00,1950.40,1929.30
06/20/2023,1947.70,244367,1970.70,1971.80,1940.80
06/16/2023,1971.20,157636,1970.30,1980.40,1965.40
06/15/2023,1970.70,258559,1955.70,1972.80,1936.10
06/14/2023,1968.90,195705,1957.20,1973.90,1952.50
06/13/2023,1958.60,194386,1971.40,1985.90,1953.00
06/12/2023,1969.70,119121,1975.60,1981.40,1963.10
06/09/2023,1977.20,127618,1980.50,1987.80,1971.00
06/08/2023,1978.60,186811,1956.20,1985.70,1955.20
06/07/2023,1958.40,186154,1980.00,1986.50,1955.40
06/06/2023,1965.50,164,1960.80,1965.00,1958.80
06/05/2023,1958.00,713,1947.50,1961.90,1937.80
06/02/2023,1952.40,356,1977.10,1982.50,1947.40
06/01/2023,1978.00,750,1963.20,1983.00,1954.30
05/31/2023,1963.90,5710,1958.20,1973.00,1953.00
05/30/2023,1958.00,37838,1942.70,1962.60,1931.00
05/26/2023,1944.30,163026,1941.70,1957.10,1936.00
05/25/2023,1943.70,247078,1959.50,1965.40,1939.00
05/24/2023,1964.60,225889,1977.30,1987.90,1958.40
05/23/2023,1974.50,207433,1973.90,1980.00,1955.80
05/22/2023,1977.20,161997,1979.40,1981.10,1973.40
05/19/2023,1981.60,228720,1960.50,1987.40,1956.30
