Date,btc_price,btc_open,btc_high,btc_low,btc_change,gold_price,gold_open,gold_high,gold_low,gold_change,sp_price,sp_open,sp_high,sp_low,sp_change,us30_price,us30_open,us30_high,us30_low,us30_change,usidx_price,usidx_open,usidx_high,usidx_low,usidx_change,btc_rsi,direction
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2024-05-29,67635.8,68366.2,68897.6,67143.2,-1.07,2352.0,2372.9,2373.5,2346.0,-0.88,5266.95,5278.73,5282.27,5262.7,-0.22,38441.54,38716.28,38716.28,38413.67,-0.71,105.13,104.67,105.14,104.59,0.44,54.1654609556318,0.0
2024-05-30,68354.7,67631.3,69504.7,67138.4,1.07,2366.5,2361.0,2373.7,2343.3,0.23,5235.48,5259.77,5260.21,5222.1,-0.46,38111.48,38368.35,38493.6,38000.96,-0.67,104.78,105.13,105.18,104.63,-0.33,59.37591922248036,1.0
2024-05-31,67530.1,68352.3,69018.2,66676.8,-1.2,2366.5,2361.0,2373.7,2343.3,0.23,5235.48,5259.77,5260.21,5222.1,-0.46,38111.48,38368.35,38493.6,38000.96,-0.67,104.78,105.13,105.18,104.63,-0.33,51.573334013739974,0.0
2024-06-01,67760.8,67533.9,67861.0,67449.6,0.34,2346.1,2350.05,2350.05,2343.5,-0.17,5283.4,5297.15,5302.11,5234.32,-0.26,38571.03,38709.99,38735.61,38247.22,-0.36,104.58,104.63,104.63,104.58,-0.05,52.67064851820654,1.0
2024-06-02,67773.5,67760.8,68447.5,67330.6,0.02,2346.1,2350.05,2350.05,2343.5,-0.17,5283.4,5297.15,5302.11,5234.32,-0.26,38571.03,38709.99,38735.61,38247.22,-0.36,104.58,104.63,104.63,104.58,-0.05,54.927914737577986,1.0
2024-06-03,68807.8,67763.3,70131.0,67616.8,1.54,2369.3,2348.0,2375.5,2334.8,0.91,5283.4,5297.15,5302.11,5234.32,-0.26,38571.03,38709.99,38735.61,38247.22,-0.36,104.05,104.58,104.77,104.04,-0.51,38.17140582450488,1.0
2024-06-04,70549.2,68808.0,71034.2,68564.3,2.53,2347.4,2371.3,2373.1,2335.1,-1.01,5291.34,5278.24,5298.8,5257.63,0.25,38711.29,38518.86,38786.62,38397.82,0.5,104.11,104.05,104.33,103.99,0.06,51.7777256577976,1.0
2024-06-05,71083.7,70550.9,71744.4,70397.1,0.76,2375.5,2347.1,2377.6,2345.3,1.21,5354.03,5314.48,5354.16,5297.64,0.74,38807.33,38774.82,38844.32,38548.77,0.08,104.25,104.15,104.46,104.13,0.1,58.71595295564059,1.0
2024-06-06,70791.5,71083.6,71616.1,70178.7,-0.41,2390.9,2375.3,2397.8,2372.2,0.66,5352.96,5357.8,5362.35,5335.36,-0.09,38886.17,38825.4,39004.16,38735.99,0.16,104.11,104.25,104.37,104.05,-0.13,63.83767101745565,0.0
2024-06-07,71188.1,70793.4,71956.5,70655.1,0.56,2340.15,2395.4,2406.6,2330.9,-2.31,5352.96,5357.8,5362.35,5335.36,-0.09,38886.17,38825.4,39004.16,38735.99,0.16,104.78,104.11,104.78,104.0,0.64,63.20368833194994,
