Timestamp,Value,Value_classification
2024-04-15 00:00:00,74,Greed
2024-04-14 00:00:00,72,Greed
2024-04-13 00:00:00,72,Greed
2024-04-12 00:00:00,79,Extreme Greed
2024-04-11 00:00:00,76,Extreme Greed
2024-04-10 00:00:00,78,Extreme Greed
2024-04-09 00:00:00,80,Extreme Greed
2024-04-08 00:00:00,76,Extreme Greed
2024-04-07 00:00:00,78,Extreme Greed
2024-04-06 00:00:00,75,Greed
2024-04-05 00:00:00,79,Extreme Greed
2024-04-04 00:00:00,70,Greed
2024-04-03 00:00:00,71,Greed
2024-04-02 00:00:00,79,Extreme Greed
2024-04-01 00:00:00,79,Extreme Greed
2024-03-31 00:00:00,75,Greed
2024-03-30 00:00:00,75,Greed
2024-03-29 00:00:00,79,Extreme Greed
2024-03-28 00:00:00,80,Extreme Greed
2024-03-27 00:00:00,83,Extreme Greed
2024-03-26 00:00:00,81,Extreme Greed
2024-03-25 00:00:00,75,Greed
2024-03-24 00:00:00,74,Greed
2024-03-23 00:00:00,73,Greed
2024-03-22 00:00:00,75,Greed
2024-03-21 00:00:00,78,Extreme Greed
2024-03-20 00:00:00,74,Greed
2024-03-19 00:00:00,79,Extreme Greed
2024-03-18 00:00:00,77,Extreme Greed
2024-03-17 00:00:00,79,Extreme Greed
2024-03-16 00:00:00,81,Extreme Greed
2024-03-15 00:00:00,83,Extreme Greed
2024-03-14 00:00:00,88,Extreme Greed
2024-03-13 00:00:00,81,Extreme Greed
2024-03-12 00:00:00,81,Extreme Greed
2024-03-11 00:00:00,82,Extreme Greed
2024-03-10 00:00:00,79,Extreme Greed
2024-03-09 00:00:00,84,Extreme Greed
2024-03-08 00:00:00,81,Extreme Greed
2024-03-07 00:00:00,82,Extreme Greed
2024-03-06 00:00:00,75,Greed
2024-03-05 00:00:00,90,Extreme Greed
2024-03-04 00:00:00,82,Extreme Greed
2024-03-03 00:00:00,83,Extreme Greed
2024-03-02 00:00:00,80,Extreme Greed
2024-03-01 00:00:00,80,Extreme Greed
2024-02-29 00:00:00,80,Extreme Greed
2024-02-28 00:00:00,82,Extreme Greed
2024-02-27 00:00:00,79,Extreme Greed
2024-02-26 00:00:00,72,Greed
2024-02-25 00:00:00,74,Greed
2024-02-24 00:00:00,72,Greed
2024-02-23 00:00:00,76,Extreme Greed
2024-02-22 00:00:00,74,Greed
2024-02-21 00:00:00,78,Extreme Greed
2024-02-20 00:00:00,72,Greed
2024-02-19 00:00:00,75,Greed
2024-02-18 00:00:00,72,Greed
2024-02-17 00:00:00,76,Extreme Greed
2024-02-16 00:00:00,72,Greed
2024-02-15 00:00:00,72,Greed
2024-02-14 00:00:00,74,Greed
2024-02-13 00:00:00,79,Extreme Greed
2024-02-12 00:00:00,70,Greed
2024-02-11 00:00:00,71,Greed
2024-02-10 00:00:00,74,Greed
2024-02-09 00:00:00,72,Greed
2024-02-08 00:00:00,66,Greed
2024-02-07 00:00:00,62,Greed
2024-02-06 00:00:00,64,Greed
2024-02-05 00:00:00,60,Greed
2024-02-04 00:00:00,60,Greed
2024-02-03 00:00:00,60,Greed
2024-02-02 00:00:00,63,Greed
2024-02-01 00:00:00,63,Greed
2024-01-31 00:00:00,60,Greed
2024-01-30 00:00:00,61,Greed
2024-01-29 00:00:00,55,Greed
2024-01-28 00:00:00,54,Neutral
2024-01-27 00:00:00,55,Greed
2024-01-26 00:00:00,49,Neutral
2024-01-25 00:00:00,52,Neutral
2024-01-24 00:00:00,48,Neutral
2024-01-23 00:00:00,50,Neutral
2024-01-22 00:00:00,55,Greed
2024-01-21 00:00:00,56,Greed
2024-01-20 00:00:00,52,Neutral
2024-01-19 00:00:00,51,Neutral
2024-01-18 00:00:00,63,Greed
2024-01-17 00:00:00,60,Greed
2024-01-16 00:00:00,64,Greed
2024-01-15 00:00:00,52,Neutral
2024-01-14 00:00:00,60,Greed
2024-01-13 00:00:00,64,Greed
2024-01-12 00:00:00,71,Greed
2024-01-11 00:00:00,76,Extreme Greed
2024-01-10 00:00:00,73,Greed
2024-01-09 00:00:00,76,Extreme Greed
2024-01-08 00:00:00,71,Greed
2024-01-07 00:00:00,71,Greed
2024-01-06 00:00:00,70,Greed
2024-01-05 00:00:00,72,Greed
2024-01-04 00:00:00,68,Greed
2024-01-03 00:00:00,70,Greed
2024-01-02 00:00:00,71,Greed
2024-01-01 00:00:00,65,Greed
2023-12-31 00:00:00,67,Greed
2023-12-30 00:00:00,68,Greed
2023-12-29 00:00:00,65,Greed
2023-12-28 00:00:00,73,Greed
2023-12-27 00:00:00,73,Greed
2023-12-26 00:00:00,71,Greed
2023-12-25 00:00:00,73,Greed
2023-12-24 00:00:00,71,Greed
2023-12-23 00:00:00,70,Greed
2023-12-22 00:00:00,74,Greed
2023-12-21 00:00:00,70,Greed
2023-12-20 00:00:00,74,Greed
2023-12-19 00:00:00,73,Greed
2023-12-18 00:00:00,65,Greed
2023-12-17 00:00:00,73,Greed
2023-12-16 00:00:00,67,Greed
2023-12-15 00:00:00,70,Greed
2023-12-14 00:00:00,72,Greed
2023-12-13 00:00:00,65,Greed
2023-12-12 00:00:00,67,Greed
2023-12-11 00:00:00,74,Greed
2023-12-10 00:00:00,74,Greed
2023-12-09 00:00:00,73,Greed
